,0
427,What will i get out of this
428,Why should I come?
429,What is so special in your event that I should register in it?
430,Why should I register for opencon?
431,What will i get out of this event? 
432,why should I register?
433,Why should I register for this event?
434,What will i gain by joining this event ?
435,What are the benefits for me to register in the event?
436,Why should i choose opencon over other events
437,How is it gone a help on being registered?
438,What is the benefit of attending this session?
439,Why should we register? 
440,What does this do for me
441,What's so special about this event?
442,Why should i register for this event
443,Why should i come to this event?
444,There are many events Why this event?
445,Will this event worth wallet? 
446,What is interesting about this?
447,What benefits would I get by participating?
448,What r we gonna get from this
449,why should I register for ur event?
450,Why should we register for the event?
451,Why should I register?
452,Why should we register for the event?
453,What is special about the event?
454,Why this event and not some other?
455,Why should I come for your event?
456,What's so special about this particular event?
457,What do we achieve by the end of this event?
458,How can i help the event
459,Do you have enough funding?
460,I want to sponsor this event
461,I would like to sponsor opencon 2020. Who should I contact? 
462,I would like to sponsor you.
463,How can someone be a sponsor ?
464,I interested in sponsoring the event
465,Why should I fund your event?
466,Is your finance done get back to us here if you need anything 
467,How to sponsor the event?
468,How to sponsor the event?
469,What are you willing to sponsor? 
470,Can you advertise for me?
471,Can a sponsor join?
472,How can i sponsor this event
473,Want to sponsor your event
474,I want to sponsor
475,IÃ¢ÂÂm willing to contribute money for this event.
476,How do i reach for any potential sponsorship?
477,Where can I register as sponsors?
478,We would like to sponsor your event
479,can we apply for sponsorship? 
480,I would like to join you as a sponsor.
481,What if a sponsor wants to join us?
482,Do you need more funds? 
483,Can our company be a part of this endeavor as a sponsor? 
484,Would you like to discuss more sponsorship?
485,Can we contact you for future sponsorship?
486,What form of help are you seeking in sponsorship? 
487,What are the benefits in sponsoring your event?
488,Whom to contact for sponsorship purposes? 
489,Any future benefits for funding your event?
490,Can i become a speaker
491,Is there any vacancy for more speakers?
492,I would like to speak in your event
493,I would like to be onboard as a speaker for opencon.
494,Whom to contact if I want to come as a speaker?
495,can I speak at your event?
496,How can someone be a speaker?
497,I would like to deliver a speech in the conference 
498,Is there a place for speaker in your event 
499,How to be a part of the initiative?
500,How to be a part of the event?
501,What are you willing to speak about? 
502,Can I speak at your event?
503,Can a speaker join?
504,How can i join this event as a speaker
505,I want to be a speaker at your event
506,I want to speak
507,I am willing to give a speech for this event.
508,What is the procedure to become a speaker?
509,Is there any slot available for speakers?
510,Is there any requirements for your speech?
511,Can I come as a speaker? 
512,Would transportation to campus be provided?
513,I would like to join you as a speaker.
514,What if a speaker wants to join us?
515,How do I apply to be a part of the panel? 
516,What fields do you need speakers from? 
517,What is the criteria required for the speakers?
518,is there a hundred bot chatting games to me?
519,is the it automated message?
520,computer programming based pely
521,either bot or human?
522,bot is chatting again with me?
523,are you system generated a message?
524,are you you robot?
525,are you you machine?
526,are you playing just computer?
527,are that you a robot?
528,are can you a person?
529,but are you a machine?
530,are you becoming a chatbot?
531,are these you a bot?
532,why are these automated messages?
533,am i actually talking to this a bot?
534,why you are but a boy are girl?
535,because you are a regular bot or human?
536,this painting is a machine?
537,this is a true chatbot?
538,the system generated reply
539,sir you have system genretrd
540,is this particular computer based response
541,is this a killing machine?
542,are you a true human?
543,need some help please
544,it need help
545,did i need some info
546,then will you help me?
547,what else yet can you do?
548,then what do you do?
549,what can i you help me deal with?
550,but what can you do?
551,oh what are you good at?
552,u need help plz
553,how can you really help me
554,can you help save me?
555,how can they you assist?
556,how can you still help me?
557,now how do you help?
558,how to really help you?
559,how exactly will you assist me?
560,i need her help
561,can you tell me some info
562,help catch me please
563,jack hey
564,maria hi
565,said hey!
566,tim hey there
567,daddy hola!
568,see hello chatbox
569,also hows life?
570,how was your work day?
571,how re you doin?
572,so whats up?
573,what're s happening?
574,tu kya chal ke raha?
575,he wassup?
576,how you still doing?
577,how are you fine?
578,are those you good?
579,a how are you?
580,how mad are you doing?
581,who earth are youu?
582,what can i please call you?
583,is your name?
584,who can you tell to me your name?
585,you are you there?
586,any last one there?
587,what is under your name?
588,are we you abir?
589,is she anyone there?
590,your name last is?
591,who really is chatting?
592,tell me about... your self?
593,who else are you?
594,who better am i chatting with?
595,what's really your name?
596,what should am i say as your english name?
597,tell me your second name?
598,what are it you called?
599,i always have a question
600,we need to aska query
601,i have a question looking for you
602,having a single query
603,i have some a query for you
604,i have made a query
605,have a query ready for you
606,guess who is conducting this event
607,maybe what does this ieee - vit do?
608,also what is ieee - 10 vit?
609,could you tell just me some more about ieee - 6 vit?
610,what is this an ieee - vit?
611,could you please tell me more just what does ieee this do?
612,what harm is this chapter do?
613,what organization is ieee?
614,what is ieee doing in vit
615,how can do you give information about ieee - vit
616,what utility is ieee - 14 vit known for?
617,what ieee consortium offers?
618,so what's running the club about?
619,and what does create ieee - vit does
620,otherwise what is ieee - specific vit?
621,and what is ieee
622,and what is ieee vit?
623,so what role does ieee chapter has to play?
624,what's more ieee
625,that what is the aim now of your chapter?
626,see how did that ieee came into play?
627,how much less would it have cost to participate?
628,and is there a registration fee?
629,is the 2008 event free?
630,how much will it literally cost me now to register?
631,but what are the registration fees?
632,how long much do we always have to pay
633,but what else is the registration fee of the event?
634,what is the tuition fees required here to directly register for the event?
635,whatas means the price point for getting in a registration done in the event
636,so how much does it cost?
637,now how much should i pay for car registration?
638,how much is in the registration license charge?
639,how great much do i even have to pay first to register?
640,how much money is the registration fee
641,what is the car registration fee?
642,is actually there a high registeration fee?
643,should i open for my wallet?
644,what is the current registration fees?
645,what would so be the registration fees for doing this annual event?
646,so how much it's that gonna cost?
647,what'bal s the final registration fees?
648,what point is the cost for the real event?
649,how much much notice do i pay to register?
650,can i come pay online?
651,can i pay on time the rental spot?
652,will you not accept gpay?
653,is water is refundable?
654,now what's the mode... of payment?
655,how much does writing it cost?
656,what farther is the registration cost?
657,but when is the last goddamn day i can join
658,till tomorrow when can i apply?
659,then till when can i register?
660,when is the deadline to formally register software for current opencon?
661,till when can i go register?
662,when is the expected deadline for student registration?
663,what is the next last date chosen for registration
664,by what calendar date should we register myself for the celebration event?
665,till now when can i finally fill the form
666,when is... the registration ending?
667,when before is the last date?
668,when until does the registration close?
669,when can i register this till?
670,when can help i register by?
671,when is the registration last effective date of registration
672,when is march the official last date for registration?
673,last recorded date to register
674,or whatas the deadline for my college registration?
675,not until when can i register?
676,what one would that be the last date to register?
677,till precisely which date can i register
678,so when is the list last for registration?
679,when is tomorrow the last job date to register?
680,what is now the deadline for web registration?
681,just what is on the last day for registration?
682,when is this the last date?
683,what is the last registration date up for registration?
684,then till what date can i apply you for in the event?
685,when when is the last day starting to register?
686,can we register on their spot?
687,but what is at the last date for payment?
688,only can we approach anyone for registration rights if the next last date passes?
689,so when is the event
690,on what dates are for the events going today to be on?
691,when is last it being held?
692,just when else will opencon be held?
693,which current day to which future day is the event?
694,since when is the event?
695,when is even the event going to even happen?
696,when time is the event happening
697,what are the dates typical of the event event?
698,when here is the event planned to take taking place
699,when of and where is was it being held?
700,when to is it scheduled?
701,what when is this event? do we just have to constantly attend exactly all the days?
702,when now is it
703,when when is it?
704,when it is the event organised
705,when is coming this event?
706,what date?
707,when do you first need any my presence?
708,since when will that event will take place?
709,from what are exactly the dates when the event is last held?
710,on which dates will the current event be later held?
711,what is the planned time release span for the event?
712,... what year is the schedule for the event?
713,when does the even start of and and end?
714,because what are the dates set for the event?
715,on what those dates will the public event be conducted?
716,how long many days the event would run wonders for?
717,on what different days we have the same event?
718,who will be taking the prayer sessions
719,which fields are being fully covered?
720,who are the keynote speakers included in this event?
721,who are named the featured speakers for the event?
722,guess who will be speaking at for the event?
723,who all are the speakers?
724,who is coming to visit the conference
725,who are the speakers for the current event and what topic it would are they always be speaking about?
726,who all will be coming up to give morning sessions
727,now who will be the speaker?
728,who exactly is ever going to address the gathering?
729,so who all along are the speakers in this event?
730,see who is speaking
731,who... are the speakers!
732,who are the current guests
733,who are the main speakers?
734,no speakers?
735,what about all the trainers?
736,do you have any speakers worth coming directly in?
737,before who would be presiding as only speakers for end the session?
738,who are also the speakers
739,who all are of the potential speakers for the new hackathon?
740,could you please name the speakers who will always be soon coming?
741,who are now the speakers?
742,or how very many speakers will there be?
743,will not this speaker be there?
744,can i... see a list of possible speakers?
745,that general info about the speakers?
746,besides when will the speakers actually be coming?
747,can we talk again to his them personally?
748,what other domains / specializations else are all they gonna talk about?
749,what will decide the winner get
750,are we there cash prizes?
751,does beating the winner get a cash prize?
752,prizes for the challenge winners?
753,do the normal people running who maybe didn't win but clearly performed well get anything?
754,are there... any prizes?
755,is there a first winner prize?
756,decide what is the main prize for the winner section of the hack
757,or are there there any prizes for winners?
758,what will i ever get if i can win only the opencon
759,perhaps what is the reward?
760,simply what are the rewards?
761,and what is the cash prize?
762,what will ever i get?
763,what bad do can i get if i win?
764,so how much is the prize money
765,what is for the prize money?
766,whom award?
767,will i get some more bounty?
768,do you have any outstanding prizes?
769,what about paying the price money?
770,then what can i get?
771,what's to the outstanding prize money?
772,do we get any more prizes?
773,what reasons are for the prizes being offered?
774,what is the prize and money?
775,what is the criteria for also getting such a prize?
776,what is the breakdown method for all the prizes?
777,will there always be goodies?
778,what are the bigger prizes like for winners?
779,do runner ups get for something?
780,will we get the stickers for answering asked questions in this event?
781,will we still get t - face shirts in the first event?
782,will the prize awarded be from cash or goodies or other charitable benefits?
783,how will the prize eventually be so divided?
784,what'the s else is the prize?
785,are we there second points and third places too?
786,what follows is the timeline of analyzing the event
787,what is the dance schedule?
788,what is just the flow of the larger event?
789,where can i see here the event schedule?
790,whatas the construction schedule?
791,what is currently the schedule for the final event?
792,what is timing of winning the event
793,and how longer would the event go on?
794,and what is the itinerary of your future event
795,so what is the schedule
796,when is it the event scheduled?
797,when when is this the event? can was we leave in between?
798,can you i have the usual itinerary?
799,what'd s the schedule
800,what is the tour itinerary
801,usual event itinerary?
802,complete schedule
803,then whatas were the time table for this event?
804,what importance is the precise flow of events?
805,just when is it going to be publicly held?
806,when is it gonna never start
807,... what's the event and timings and start schedule?
808,what does is the detailed event schedule
809,how is she the event schedule?
810,when else are the events happening?
811,then what is with the itinerary?
812,and when here is the event being hosted?
813,do we still have orders to stay on there the whole day?
814,how infinitely many possible days the event would go for?
815,when is the international conference?
816,what exactly will happen when?
817,what is just this about?
818,what is this whole event about?
819,what is open the con?
820,what is en opencon?
821,in what is this?
822,what is this this event about?
823,and what exactly is open con
824,basically what is this it just a conference or hackathon?
825,what exactly is opencon basically good about..?
826,only what else is the event all about?
827,... what exactly is this event?
828,what's the great event?
829,what news is this
830,what time is this about
831,what cause is this event about
832,what is this all about?
833,what is from the event about?
834,whatas so fucking great in hosting this event?
835,just what does it entail
836,what is the event we all fuss about?
837,what is this event truly about
838,what city is the event about?
839,what right is this all about?
840,what will ever we do in planning this event?
841,what great benefits do we get away from this event?
842,how is holding it really different just from other hackathons?
843,where can am i stay
844,will the accommodation costs be included again in registration fees?
845,where can myself i stay?
846,and what about accomodation for taking the participants?
847,is accommodation well provided?
848,thus is accomadation available simply for externals?
849,what will we do for them accommodation
850,when would i be provided additional accommodation by vit?
851,is stay provided always for us
852,at how frequently is the accomodation done?
853,how quickly will you accommodate?
854,what is accommodation free?
855,where now can i stay?
856,to where can i stay?
857,what more about our stay
858,what size is the accommodation situation?
859,where do i eventually stay?
860,where will insist i stay?
861,well what are the accommodations provided?
862,will eventually there be any accommodation for meeting the participants?
863,is additional accommodation provided
864,will u provide available accommodation during the public event?
865,do you actually provide accommodation?
866,will accommodation now be arranged?
867,how often will can we be properly accomadated during the event?
868,can... i stay outside campus?
869,also are there any large accommodations in the hostels?
870,can she i stay with a friend once in his / her village hostel?
871,all fit the details of the office accommodation.
872,such would accommodation be free charge or paid?
873,would accommodation indeed be often provided in a dormitory?
874,what would all it be ac / non ac?
875,can i go live outside the downtown vit campus?
876,will someday we provided rooms downstairs or dormitories?
877,will proper refreshments be provided
878,what number is the menu?
879,do how we get food during the whole event? give what food?
880,what about free food / travel refreshments provided during the event?
881,do we have to get past our people own food?
882,will food often be provided?
883,when will food be provided?
884,what are th arrangements u for food
885,wherein would food be provided?
886,will be we be the provided food during the event
887,will food be present provided
888,as will the food be provided?
889,that is even there any proper food arrangement?
890,what about your lunch?
891,but will food be provided?
892,are ya we gonna be provided food
893,what variety are the foods offered?
894,or is there food?
895,i am just a terrible foodie! will i get us some good chinese food when not i am hungry?
896,will you always feed us?
897,will food be ever provided?
898,where is food included
899,will there be any free food?
900,or what are the arrangements for this food?
901,what food arrangements shall he be taken there?
902,what was about refreshments?
903,or is there non - korean vegetarian food?
904,when will there be any vegan food?
905,what will be presently provided to these us serves as food to be precise!
906,do do we get the right food and services all the days of the event?
907,how do we now have to pay more seperately for food?
908,will there truly be stalls?
909,would food making arrangements be free of interest cost?
910,and would pizza'restaurant s be provided?
911,how are there arrangements for visiting vegetarians?
912,are there there arrangements for non african vegetarians?
913,i still have further doubts i want him to clear
914,who to contact him for further human doubts?
915,give me up the contact info of someone different from ieee
916,who then should i call contact for more info?
917,whom exactly can i contact?
918,for who do i contact him regarding this event?
919,... who should i contact
920,tell whom to contact?
921,whom can now i contact in this person from at ieeevit
922,whom better to contact for more information
923,how to initiate contact here the organisation committee?
924,whom can suggest we contact again for queries?
925,can we i get some numbers
926,i need more for help
927,who other should i talk to
928,contact with info?
929,her phone
930,but i want even more personal details today about the event do you know someone who just could help me out?
931,who ever can i really contact for further details?
932,whom further do they i need to contact?
933,who can i contact you for more comprehensive details
934,but whom should i contact?
935,whom can i contact now for more queries?
936,and could you always provide the details of a specific person to contact?
937,who who can i contact for immediate queries regarding the intended event?
938,who can i now call for our clarification?
939,now how can i reach into the event hosts?
940,and contact details of organisers
941,who can do i contact anyone for queries please regarding accomaodation?
942,and is not there any general email id or platform where we researchers can easily send our questions?
943,who should i possibly contact for accommodation health arrangements?
944,i have some general job query then who should help i talk to?
945,what will think i really get out of this
946,then why should i come?
947,or what is also so special in your event that not i should register it in it?
948,why should do i only register for opencon?
949,or what will i get out of of this event?
950,why even should i register?
951,why should i register her for this big event?
952,what will i ever gain by suddenly joining this event?
953,what are about the benefits for having me attending to register in the event?
954,why also should i choose opencon over all other events
955,for how is it gone a help depends on his being registered?
956,what is the benefit ahead of attending this training session?
957,why should not we register?
958,what does this place do for me
959,like what's so special about hosting this event?
960,why should i even register automatically for this event
961,why should i come alive to cancel this event?
962,there all are many unique events why this event?
963,will win this event worth wallet?
964,what is interesting... about this?
965,what benefits that would i get to by participating?
966,what good r we gonna get from al this
967,why should i register to for no ur event?
968,why should we not register everyone for the event?
969,why should i always register?
970,why then should we register for the next event?
971,what point is special about reaching the event?
972,why was this event and not why some other?
973,but why should i come for this your event?
974,like what's so freaking special tonight about this particular event?
975,what else do we achieve just by the end product of this event?
976,how can i help with the event
977,do you have long enough funding?
978,i want to also sponsor this event
979,i personally would like her to sponsor opencon 2020. who then should i later contact?
980,i would like to better sponsor some you.
981,for how can someone truly be a sponsor?
982,i interested in sponsoring quite the event
983,why should i always fund fund your event?
984,is your liquid finance done but get back to us out here if you need anything
985,how to sponsor the football event?
986,how to sponsor on the event?
987,... what are you willing here to sponsor?
988,how can you advertise her for me?
989,can a sponsor even join?
990,but how can i sponsor this event
991,want us to sponsor your event
992,i want to be sponsor
993,iam willing to formally contribute money for arranging this public event.
994,how do i ever reach for... any potential sponsorship?
995,where can say i register ourselves as sponsors?
996,surely we both would like to sponsor your event
997,how can we apply for sponsorship?
998,i would like someone to willingly join you guys as a sponsor.
999,and what changes if a sponsor wants to join us?
1000,do you need him more funds?
1001,can all our company possibly be a part of this endeavor as such a sponsor?
1002,and would you still like to discuss more sponsorship?
1003,i can so we contact you for future sponsorship?
1004,what form of outside help are all you seeking in school sponsorship?
1005,what are the benefits ahead in sponsoring host your event?
1006,whom to contact me for sponsorship of purposes?
1007,any future benefits for funding of your own event?
1008,can i actually become a speaker
1009,also is there any vacancy here for more speakers?
1010,i would particularly like them to speak in your event
1011,i would also like to be onboard as a master speaker for that opencon.
1012,whom to contact if even i really want to simply come as a speaker?
1013,how can i speak please at your event?
1014,how true can someone be a better speaker?
1015,i would also like to deliver us a long speech in the conference
1016,if is there a place appropriate for speaker in your event
1017,how to be so a part of securing the initiative?
1018,how to be a prominent part of planning the event?
1019,what are you willing to please speak more about?
1020,when can i speak at... your event?
1021,who can a speaker join?
1022,Â« how can i join to this event as a speaker
1023,i want me to be a speaker host at your event
1024,so i want to speak
1025,i am really willing anyone to give us a speech for this event.
1026,what is the procedure to finally become a fluent speaker?
1027,is there there any slot available locally for speakers?
1028,is there any requirements yet for your free speech?
1029,can may i please come as a speaker?
1030,would private transportation to college campus be provided?
1031,but i just would like to join you today as a speaker.
1032,what if a speaker really wants to help join us?
1033,how eventually do i apply to be almost a permanent part of the panel?
1034,though what fields do all you need speakers from?
1035,what is not the criteria required... for the speakers?
1036,because is there a robot bot chatting to me?
1037,is to it automated message?
1038,digital computer based pely
1039,bot bot or human?
1040,bot is chatting with not me?
1041,are you system computer generated message?
1042,are that you robot?
1043,are you all machine?
1044,are are you just computer?
1045,besides are you a robot?
1046,are you a real person?
1047,because are you a machine?
1048,are you a professional chatbot?
1049,are you a security bot?
1050,are are these automated messages?
1051,am i done talking back to a bot?
1052,yes you are a boy what are girl?
1053,you are such a lab bot or human?
1054,this boat is a machine?
1055,this is a facebook chatbot?
1056,system text generated reply
1057,sir you system of genretrd
1058,how is this computer based response
1059,is this really a machine?
1060,they are you a human?
1061,need my help please
1062,you need help
1063,i need some classified info
1064,will can you help me?
1065,what else exactly can you do?
1066,what do do you do?
1067,what can do you help torment me with?
1068,what can you you do?
1069,what crap are you good at?
1070,need you help plz
1071,how can you possibly help me
1072,can you... help me?
1073,therefore how can you assist?
1074,how can can you help me?
1075,how do all you help?
1076,know how to help you?
